date,confirmed,Awareness,Larviciding,Fogging,irs,Ovi_Trap,Dewatering,Tyres,Debris,FishSeed,Max_Temp,Min_Temp,Max_Humidity,Min_Humidity,Rainfall,cluster
2015-03-07,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,17
2015-03-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-03-09,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,17
2015-03-10,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,17
2015-03-11,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,17
2015-03-12,0,0,0,0,0,0,2,0,14,0,0,0,0,0,0,17
2015-03-13,0,0,0,0,0,0,0,0,0,0,26.7,12.7,81.0,50.0,0.0,17
2015-03-14,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,17
2015-03-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-03-16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17
2015-03-17,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,17
2015-03-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-03-19,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17
2015-03-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-03-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-03-22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17
2015-03-23,0,0,0,0,0,0,0,0,0,0,32.8,19.6,71.0,32.0,0.0,17
2015-03-24,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-03-25,0,3,0,0,0,0,2,0,0,0,31.8,19.2,61.0,35.0,0.0,17
2015-03-26,0,8,0,0,0,0,15,6,14,0,0,0,0,0,0,17
2015-03-27,0,5,0,0,0,0,3,5,6,0,0,0,0,0,0,17
2015-03-28,0,8,0,0,0,0,4,2,0,0,0,0,0,0,0,17
2015-03-29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-03-30,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,17
2015-03-31,0,7,7,0,0,1,32,0,4,7,0,0,0,0,0,17
2015-04-01,0,1,0,0,0,0,7,0,19,0,0,0,0,0,0,17
2015-04-02,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,17
2015-04-03,0,3,0,0,0,0,6,0,0,0,0,0,0,0,0,17
2015-04-04,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,17
2015-04-05,0,1,3,0,0,0,2,0,3,0,0,0,0,0,0,17
2015-04-06,0,1,0,0,0,0,0,0,0,0,26.5,18.5,77.0,54.0,0.0,17
2015-04-07,0,0,0,0,0,5,0,0,2,0,0,0,0,0,0,17
2015-04-08,0,0,0,0,0,3,0,1,3,10,0,0,0,0,0,17
2015-04-09,0,6,0,0,0,0,1,3,1,0,0,0,0,0,0,17
2015-04-10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17
2015-04-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-04-12,0,8,4,0,1,0,1,0,0,0,0,0,0,0,0,17
2015-04-13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17
2015-04-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-04-15,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17
2015-04-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-04-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-04-18,0,3,0,0,0,0,0,1,1,0,0,0,0,0,0,17
2015-04-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-04-20,0,0,0,0,0,2,2,4,1,0,0,0,0,0,0,17
2015-04-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17
2015-04-22,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,17
2015-04-23,0,5,2,0,0,0,0,0,3,0,0,0,0,0,0,17
2015-04-24,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,17
2015-04-25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17
2015-04-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-04-27,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,17
2015-04-28,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,17
2015-04-29,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17
2015-04-30,0,4,9,0,0,0,0,17,5,0,0,0,0,0,0,17
2015-05-01,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17
2015-05-02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17
2015-05-03,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17
2015-05-04,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,17
2015-05-05,0,1,5,0,0,0,1,0,6,3,0,0,0,0,0,17
2015-05-06,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,17
2015-05-07,0,2,0,1,34,0,0,1,8,0,0,0,0,0,0,17
2015-05-08,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17
2015-05-09,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,17
2015-05-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-05-11,0,1,8,0,2,0,1,0,1,0,0,0,0,0,0,17
2015-05-12,0,0,0,0,0,0,0,0,4,8,0,0,0,0,0,17
2015-05-13,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,17
2015-05-14,0,0,6,0,0,0,6,7,3,1,0,0,0,0,0,17
2015-05-15,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,17
2015-05-16,0,0,1,0,0,0,2,7,4,0,0,0,0,0,0,17
2015-05-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-05-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-05-19,0,0,8,0,0,0,1,7,2,0,0,0,0,0,0,17
2015-05-20,0,4,3,0,0,0,1,2,1,0,0,0,0,0,0,17
2015-05-21,0,0,0,0,0,2,0,1,2,0,0,0,0,0,0,17
2015-05-22,0,5,3,0,0,0,0,3,3,4,0,0,0,0,0,17
2015-05-23,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,17
2015-05-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-05-25,0,2,0,0,0,2,1,0,1,0,0,0,0,0,0,17
2015-05-26,0,1,0,0,0,0,0,0,1,4,0,0,0,0,0,17
2015-05-27,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,17
2015-05-28,0,0,4,0,0,0,1,6,0,0,0,0,0,0,0,17
2015-05-29,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,17
2015-05-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-05-31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-06-01,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,17
2015-06-02,0,1,0,0,0,1,6,0,0,0,0,0,0,0,0,17
2015-06-03,0,3,0,0,0,0,1,1,2,0,0,0,0,0,0,17
2015-06-04,0,1,0,0,0,0,1,0,0,3,0,0,0,0,0,17
2015-06-05,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,17
2015-06-06,0,1,5,0,0,10,0,6,1,2,0,0,0,0,0,17
2015-06-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-06-08,0,5,1,0,0,0,0,1,5,0,0,0,0,0,0,17
2015-06-09,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,17
2015-06-10,0,1,0,0,0,0,0,0,7,12,0,0,0,0,0,17
2015-06-11,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,17
2015-06-12,0,0,0,0,0,0,0,0,1,0,40.7,26.0,60.0,32.0,0.0,17
2015-06-13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,17
2015-06-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-06-15,0,2,4,0,0,0,0,4,1,1,0,0,0,0,0,17
2015-06-16,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,17
2015-06-17,0,3,0,0,0,0,0,2,1,0,0,0,0,0,0,17
2015-06-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-06-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-06-20,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17
2015-06-21,0,0,0,0,0,0,0,0,0,0,37.3,23.0,70.0,41.0,1.1,17
2015-06-22,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,17
2015-06-23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17
2015-06-24,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17
2015-06-25,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17
2015-06-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-06-27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17
2015-06-28,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,17
2015-06-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-06-30,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,17
2015-07-01,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,17
2015-07-02,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17
2015-07-03,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17
2015-07-04,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,17
2015-07-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-07-06,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17
2015-07-07,0,1,32,0,0,0,2,2,5,6,0,0,0,0,0,17
2015-07-08,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17
2015-07-09,0,0,0,0,0,0,0,0,0,0,36.2,23.2,77.0,56.0,0.0,17
2015-07-10,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,17
2015-07-11,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,17
2015-07-12,0,0,0,0,0,0,0,0,0,0,29.2,23.5,93.0,89.0,14.2,17
2015-07-13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17
2015-07-14,0,0,0,0,0,0,0,1,0,9,34.0,27.3,84.0,57.0,0.1,17
2015-07-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-07-16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-07-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-07-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-07-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-07-21,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17
2015-07-22,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,17
2015-07-23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17
2015-07-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-07-25,0,2,0,0,0,0,4,4,3,0,0,0,0,0,0,17
2015-07-26,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,17
2015-07-27,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,17
2015-07-28,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17
2015-07-29,0,0,3,0,0,0,0,7,13,0,0,0,0,0,0,17
2015-07-30,0,0,1,0,0,0,0,5,6,0,0,0,0,0,0,17
2015-07-31,0,0,4,0,0,0,0,1,6,5,0,0,0,0,0,17
2015-08-01,0,1,9,0,0,0,2,0,42,0,0,0,0,0,0,17
2015-08-02,0,3,4,0,0,0,1,4,3,0,0,0,0,0,0,17
2015-08-03,0,2,6,0,0,0,8,5,30,0,0,0,0,0,0,17
2015-08-04,0,2,13,0,0,0,1,5,7,0,34.4,28.4,88.0,80.0,8.3,17
2015-08-05,0,2,19,0,0,0,1,0,17,0,0,0,0,0,0,17
2015-08-06,0,0,1,0,0,0,1,4,12,0,0,0,0,0,0,17
2015-08-07,0,6,21,0,0,0,6,27,5,0,0,0,0,0,0,17
2015-08-08,0,4,16,0,1,0,8,6,9,0,0,0,0,0,0,17
2015-08-09,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,17
2015-08-10,0,4,8,0,0,0,14,5,4,8,0,0,0,0,0,17
2015-08-11,0,6,7,0,0,0,11,9,6,0,0,0,0,0,0,17
2015-08-12,0,4,2,0,0,0,8,7,11,0,0,0,0,0,0,17
2015-08-13,0,9,6,0,0,0,4,4,1,0,0,0,0,0,0,17
2015-08-14,0,9,2,0,0,0,6,5,1,0,0,0,0,0,0,17
2015-08-15,0,3,0,0,1,0,2,5,2,0,0,0,0,0,0,17
2015-08-16,0,4,1,0,30,0,5,4,0,0,0,0,0,0,0,17
2015-08-17,0,4,1,0,0,1,3,1,9,5,0,0,0,0,0,17
2015-08-18,0,7,2,0,0,0,10,7,9,0,0,0,0,0,0,17
2015-08-19,0,7,1,0,0,0,2,9,9,0,0,0,0,0,0,17
2015-08-20,0,7,5,0,10,0,5,4,8,8,0,0,0,0,0,17
2015-08-21,0,0,2,0,3,0,0,2,17,0,0,0,0,0,0,17
2015-08-22,0,4,3,0,0,0,7,1,9,0,0,0,0,0,0,17
2015-08-23,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17
2015-08-24,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,17
2015-08-25,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,17
2015-08-26,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,17
2015-08-27,0,2,4,0,0,0,4,3,3,5,0,0,0,0,0,17
2015-08-28,0,2,2,0,0,0,8,7,10,0,0,0,0,0,0,17
2015-08-29,0,3,1,0,0,0,1,0,7,5,36.5,29.0,63.0,61.0,0.0,17
2015-08-30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,17
2015-08-31,0,3,1,0,0,0,5,4,5,0,0,0,0,0,0,17
2015-09-01,0,2,1,0,0,0,2,1,11,2,0,0,0,0,0,17
2015-09-02,0,0,4,0,0,0,0,0,10,0,0,0,0,0,0,17
2015-09-03,0,3,12,0,0,0,3,2,11,9,0,0,0,0,0,17
2015-09-04,0,4,0,0,0,0,0,5,4,0,0,0,0,0,0,17
2015-09-05,0,7,5,0,0,0,4,0,2,0,0,0,0,0,0,17
2015-09-06,0,0,2,0,0,0,0,2,5,0,36.0,24.0,49.0,64.0,0.0,17
2015-09-07,0,11,1,0,0,0,3,4,6,0,0,0,0,0,0,17
2015-09-08,0,7,0,0,0,0,0,7,7,0,0,0,0,0,0,17
2015-09-09,0,4,1,0,0,0,1,6,4,0,0,0,0,0,0,17
2015-09-10,0,0,4,0,0,0,0,4,3,7,0,0,0,0,0,17
2015-09-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-09-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-09-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-09-14,0,0,0,0,4,0,0,0,10,0,0,0,0,0,0,17
2015-09-15,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17
2015-09-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-09-17,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,17
2015-09-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-09-19,0,4,0,0,1,0,1,1,4,0,0,0,0,0,0,17
2015-09-20,0,1,0,0,0,0,0,6,4,0,0,0,0,0,0,17
2015-09-21,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17
2015-09-22,0,2,1,0,0,0,1,5,4,0,0,0,0,0,0,17
2015-09-23,0,9,0,0,0,0,1,5,2,0,0,0,0,0,0,17
2015-09-24,0,4,1,0,0,0,2,3,22,0,0,0,0,0,0,17
2015-09-25,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,17
2015-09-26,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,17
2015-09-27,0,5,5,0,0,0,2,0,6,0,0,0,0,0,0,17
2015-09-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-09-29,0,1,6,0,0,0,5,1,1,0,0,0,0,0,0,17
2015-09-30,0,0,11,0,0,0,1,2,3,0,0,0,0,0,0,17
2015-10-01,0,0,8,0,0,0,1,42,5,0,0,0,0,0,0,17
2015-10-02,0,2,0,0,0,0,1,4,3,0,0,0,0,0,0,17
2015-10-03,0,5,5,0,4,0,5,5,3,5,0,0,0,0,0,17
2015-10-04,0,1,0,0,0,0,3,6,3,0,0,0,0,0,0,17
2015-10-05,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,17
2015-10-06,0,2,1,0,0,0,4,1,1,1,0,0,0,0,0,17
2015-10-07,0,11,0,0,0,0,0,0,5,0,34.6,23.7,58.0,37.0,0.0,17
2015-10-08,0,8,2,0,0,0,5,0,0,0,0,0,0,0,0,17
2015-10-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-10-10,0,4,0,0,4,0,2,5,13,0,0,0,0,0,0,17
2015-10-11,0,0,0,0,0,0,0,0,0,0,34.9,22.5,44.0,31.0,0.0,17
2015-10-12,0,4,0,0,0,0,2,2,13,0,0,0,0,0,0,17
2015-10-13,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,17
2015-10-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-10-15,0,3,0,0,0,0,3,6,6,2,0,0,0,0,0,17
2015-10-16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17
2015-10-17,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,17
2015-10-18,0,2,0,0,0,0,1,3,0,0,0,0,0,0,0,17
2015-10-19,0,7,9,0,0,0,3,6,46,16,27.8,20.5,82.0,58.0,0.0,17
2015-10-20,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,17
2015-10-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-10-22,0,0,0,0,0,0,1,2,15,0,0,0,0,0,0,17
2015-10-23,0,0,0,0,0,0,2,2,19,0,0,0,0,0,0,17
2015-10-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-10-25,0,1,0,0,0,0,1,6,11,0,0,0,0,0,0,17
2015-10-26,0,7,0,0,0,0,2,4,15,0,0,0,0,0,0,17
2015-10-27,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,17
2015-10-28,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,17
2015-10-29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-10-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-10-31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17
2015-11-01,0,1,0,0,0,0,2,3,0,0,0,0,0,0,0,17
2015-11-02,0,3,2,4,0,0,0,6,10,0,0,0,0,0,0,17
2015-11-03,0,0,3,0,0,0,7,3,31,0,0,0,0,0,0,17
2015-11-04,0,0,0,0,0,0,1,1,3,0,0,0,0,0,0,17
2015-11-05,0,2,2,0,0,0,0,4,34,0,0,0,0,0,0,17
2015-11-06,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,17
2015-11-07,0,1,0,0,0,0,1,3,27,5,26.6,13.6,60.0,43.0,0.0,17
2015-11-08,0,2,1,0,0,0,4,7,0,0,0,0,0,0,0,17
2015-11-09,0,0,0,0,0,0,2,4,37,0,0,0,0,0,0,17
2015-11-10,0,0,0,0,0,0,1,11,9,0,0,0,0,0,0,17
2015-11-11,0,0,0,0,0,0,2,7,63,0,0,0,0,0,0,17
2015-11-12,0,1,0,12,0,0,0,1,19,1,0,0,0,0,0,17
2015-11-13,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,17
2015-11-14,0,0,0,0,0,0,0,7,68,0,0,0,0,0,0,17
2015-11-15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17
2015-11-16,0,1,0,0,0,0,2,7,6,0,0,0,0,0,0,17
2015-11-17,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,17
2015-11-18,0,0,0,0,0,0,0,0,61,0,0,0,0,0,0,17
2015-11-19,0,0,7,0,0,0,2,0,44,0,28.0,11.2,63.0,43.0,0.0,17
2015-11-20,0,0,0,0,0,0,0,0,30,5,0,0,0,0,0,17
2015-11-21,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,17
2015-11-22,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,17
2015-11-23,0,11,0,0,0,0,0,3,19,0,0,0,0,0,0,17
2015-11-24,0,3,4,0,0,0,4,6,17,5,25.5,10.5,65.0,44.0,0.0,17
2015-11-25,0,2,0,0,0,0,2,10,13,0,0,0,0,0,0,17
2015-11-26,0,3,0,0,0,0,0,6,10,0,0,0,0,0,0,17
2015-11-27,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,17
2015-11-28,0,8,0,0,0,0,2,8,63,0,0,0,0,0,0,17
2015-11-29,0,1,0,0,0,0,2,4,12,0,0,0,0,0,0,17
2015-11-30,0,0,0,0,0,0,0,5,39,0,0,0,0,0,0,17
2015-12-01,0,1,0,0,0,0,2,3,16,7,0,0,0,0,0,17
2015-12-02,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,17
2015-12-03,0,0,0,0,0,0,0,1,11,0,0,0,0,0,0,17
2015-12-04,0,0,0,0,0,0,1,6,54,7,0,0,0,0,0,17
2015-12-05,0,2,0,0,0,0,1,6,23,0,0,0,0,0,0,17
2015-12-06,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17
2015-12-07,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,17
2015-12-08,0,0,0,0,0,0,1,2,30,0,0,0,0,0,0,17
2015-12-09,0,0,0,0,0,0,1,1,9,0,0,0,0,0,0,17
2015-12-10,0,0,0,0,0,0,0,4,37,0,0,0,0,0,0,17
2015-12-11,0,0,0,0,0,0,1,2,30,1,0,0,0,0,0,17
2015-12-12,0,0,0,0,0,0,0,9,29,0,0,0,0,0,0,17
2015-12-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-12-14,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,17
2015-12-15,0,0,0,0,0,0,0,3,53,0,0,0,0,0,0,17
2015-12-16,0,0,0,0,0,0,1,0,24,3,0,0,0,0,0,17
2015-12-17,0,0,0,0,0,0,1,0,20,0,6.0,19.5,48.0,30.0,0.0,17
2015-12-18,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,17
2015-12-19,0,0,0,0,0,0,1,1,12,0,0,0,0,0,0,17
2015-12-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-12-21,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,17
2015-12-22,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,17
2015-12-23,0,0,5,0,0,0,0,0,46,0,0,0,0,0,0,17
2015-12-24,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,17
2015-12-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-12-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
2015-12-27,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,17
2015-12-28,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,17
2015-12-29,0,1,0,0,0,0,1,4,20,0,0,0,0,0,0,17
2015-12-30,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,17
2015-12-31,0,0,0,0,0,0,1,0,18,0,0,0,0,0,0,17
2015-01-01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2015-01-02,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,18
2015-01-03,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,18
2015-01-04,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,18
2015-01-05,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,18
2015-01-06,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,18
2015-01-07,0,0,0,0,0,0,2,0,35,0,0,0,0,0,0,18
2015-01-08,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,18
2015-01-09,0,0,0,0,0,0,1,0,16,0,0,0,0,0,0,18
2015-01-10,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,18
2015-01-11,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18
2015-01-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2015-01-13,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18
2015-01-14,0,0,0,0,0,0,2,1,14,0,0,0,0,0,0,18
2015-01-15,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18
2015-01-16,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,18
2015-01-17,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,18
2015-01-18,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18
2015-01-19,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,18
2015-01-20,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18
2015-01-21,0,0,0,0,0,0,9,0,8,0,0,0,0,0,0,18
2015-01-22,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,18
2015-01-23,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,18
2015-01-24,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,18
2015-01-25,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18
2015-01-26,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,18
2015-01-27,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,18
2015-01-28,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,18
2015-01-29,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,18
2015-01-30,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,18
2015-01-31,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,18
2015-02-01,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,18
2015-02-02,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,18
2015-02-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2015-02-04,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,18
2015-02-05,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,18
2015-02-06,0,0,0,0,0,0,0,0,10,0,21.3,8.2,81.0,45.0,0.0,18
2015-02-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2015-02-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2015-02-09,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,18
2015-02-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2015-02-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2015-02-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2015-02-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2015-02-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2015-02-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2015-02-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
2015-02-17,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,18
2015-02-18,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,18
2015-02-19,0,0,0,0,0,0,9,0,4,0,0,0,0,0,0,18
2015-02-20,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,18
